BDGT_SRC_ASST,BDGT_SRC_FED,BDGT_SRC_FEE,BDGT_SRC_MNC,BDGT_TTL,BDGT_TTL_EST,COM_COL,COM_MIS,COM_NSARA,COM_PTNR,COM_SARA,COM_SURV,COM_TRN_INSRV,COM_TRN_REC,City,Disqualifies Complaints,Erases misconduct records ,FTCIV,FTSWORN,Gives officers unfair access to info ,HIR_RTR_DB,HIR_RTR_DC,HIR_RTR_OTHR,HIR_RTR_SS,Limits oversight/discipline,PAY_BARG,PAY_FUNC_ADMN,PAY_FUNC_CRT,PAY_FUNC_EMRG,PAY_FUNC_EVNT,PAY_FUNC_INVS,PAY_FUNC_PTRL,PAY_FUNC_SHFT,PAY_INCT_EDU,PAY_INCT_HZRD,PAY_INCT_LANG,PAY_INCT_MRT,PAY_INCT_OTHR,PAY_INCT_RINC,PAY_INCT_SD,PAY_INCT_SPCL,PAY_INCT_SPEC,PAY_INCT_VOC,PAY_LMT,PAY_OUT,PAY_OVER_NSW,PAY_OVER_SW,PAY_RMB_ARMR,PAY_RMB_FIRE,PAY_RMB_SFTY,PAY_RMB_TUIT,PAY_RMB_UNF,PAY_RST_HRS,PAY_RST_NO,PAY_RST_OTHR,PAY_RST_TYPE,PAY_SAL_EXC_MAX,PAY_SAL_EXC_MIN,PAY_SAL_OFCR_MAX,PAY_SAL_OFCR_MIN,PAY_SAL_SGT_MAX,PAY_SAL_SGT_MIN,PAY_SBARG,PAY_VEH_MRK,PAY_VEH_UMRK,PERS_RESP_CRT,PERS_RESP_INVST,PERS_RESP_JAIL,PERS_RESP_OTHR,PERS_RESP_PATRL,PTCIV,PTSWORN,Requires City to Pay for Misconduct,Restricts/Delays Interrogations,State,TOTALPRIV
1.0,1.0,1.0,1.0,78236166.0,2.0,2,3,65,1,1,1,3,1,Buffalo,1,0,165.0,751.0,1,1,1,2,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0, ,2.0,2.0,1,1,1.0,1.0,1.0,1.0,2.0,1.0,1,2,2,2,116989.0,116989.0,64095.0,48896.0,73312.0,69009.0,2.0,2.0,2.0,1,106,0,195,449,131.0,0.0,1,1,NY,4
1.0,2.0,2.0,1.0,64129770.0,2.0,1,3,123,1,1,1,3,1,Chandler,0,1,156.0,318.0,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0, ,2.0,2.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2,1,172778.0,123413.0,73673.0,51875.0,93308.0,77355.0,1.0,2.0,2.0,0,79,0,92,147,1.0,0.0,0,1,AZ,4
1.0,1.0,1.0,1.0,211316611.0,2.0,1,3,250,1,1,1,3,1,Charlotte,0,0,425.0,1766.0,0,1,1,2,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,Field Training Officer Compensation,2.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,2,2,1,,,40674.0,40674.0,72960.0,72960.0,2.0,2.0,2.0,0,289,0,61,1416,27.0,20.0,0,0,NC,0
1.0,1.0,2.0,1.0,1250254874.0,2.0,2,3,-8,1,2,1,3,1,Chicago,0,1,822.0,12042.0,1,1,1,2,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,Fitness Incentive,2.0,2.0,1,1,1.0,2.0,2.0,2.0,1.0,1.0,2,2,1,1,260004.0,260004.0,89142.0,43104.0,106068.0,71064.0,2.0,2.0,2.0,23,898,44,2410,8667,803.0,0.0,1,1,IL,5
1.0,1.0,1.0,1.0,43963270.0,2.0,1,3,20,1,1,1,3,1,Chula Vista,0,0,83.0,207.0,1,1,2,2,2,1,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,Recruitment incentive,1.0,2.0,2,1,1.0,1.0,1.0,1.0,1.0,1.0,-8,-8,-8,-8,190962.0,157105.0,81742.0,67250.0,103540.0,85183.0,1.0,2.0,2.0,0,23,0,46,138,4.0,0.0,1,1,CA,4
1.0,1.0,1.0,1.0,128712737.0,2.0,1,3,500,1,1,2,1,-8,Cincinnati,0,1,129.0,986.0,1,1,1,2,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0, ,2.0,2.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,2,2,1,137641.0,101956.0,63140.0,52790.0,73647.0,71580.0,1.0,2.0,2.0,0,172,0,225,589,0.0,0.0,0,0,OH,3
1.0,2.0,2.0,1.0,172000000.0,1.0,2,2,-8,2,2,2,4,1,Cleveland,1,1,228.0,1513.0,1,1,1,2,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0, ,2.0,2.0,1,1,1.0,1.0,1.0,2.0,2.0,1.0,1,2,1,1,113000.0,113000.0,47282.0,47282.0,64426.0,63926.0,1.0,3.0,2.0,0,400,0,313,800,14.0,0.0,0,1,OH,5
1.0,1.0,1.0,1.0,92822328.0,2.0,1,2,150,1,1,1,4,2,Colorado Springs,0,0,275.0,620.0,0,1,2,2,2,0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0, ,2.0,2.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2,1,154688.0,123751.0,46235.0,46235.0,81874.0,81874.0,-8.0,2.0,2.0,6,95,0,90,429,48.0,0.0,0,0,CO,0
1.0,1.0,2.0,1.0,272000000.0,2.0,2,3,30,2,1,1,3,1,Columbus,1,1,323.0,1849.0,0,1,2,2,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0, ,2.0,2.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,2,2,1,162000.0,149000.0,49545.0,49545.0,85300.0,85300.0,1.0,2.0,2.0,24,749,0,0,1076,10.0,0.0,1,1,OH,5
2.0,2.0,2.0,1.0,64053864.0,2.0,1,3,10,2,1,2,3,1,Corpus Christi,0,0,235.0,410.0,1,1,1,2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,Field Training Officer Compensation,2.0,2.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,2,2,1,143109.0,100671.0,56880.0,46584.0,80112.0,70812.0,1.0,2.0,2.0,0,89,0,23,298,4.0,0.0,1,1,TX,4
